"product_manufacturer","count"
"Linden","2"
"Iceberg","3"
"SanDisk","8"
"Memorex","13"
"Bulldog","2"
"Nortel","4"
"Quartet","2"
"Tyvek","4"
"Epson","3"
"XtraLife","2"
"Mitel","2"
"Grandstream","2"
"Panasonic","18"
"Microsoft","5"
"Wirebound","11"
"HTC","2"
"Binney & Smith","5"
"Avaya","4"
"Sterilite","2"
"Tripp Lite","3"
"REDIFORM","5"
"RCA","5"
"Executive Impressions","12"
"Other","356"
"Ultra","4"
"Bevis","11"
"Atlantic","4"
"Sharp","2"
"Verbatim","5"
"Hoover","10"
"GE","7"
"Sanyo","2"
"Lesro","2"
"Barricks","2"
"Anker","6"
"Advantus","13"
"Avery","98"
"Iris","2"
"Nu-Dell","5"
"HP","4"
"Eldon","48"
"Razer","3"
"Sanford","11"
"Balt","3"
"AT&T","11"
"Sony","7"
"Universal","5"
"Message Book","3"
"Stanley","2"
"ClearOne","2"
"Seth Thomas","6"
"Rush","2"
"Acco","34"
"3D Systems","2"
"Micro Innovations","2"
"Avanti","2"
"Clearsounds","2"
"Holmes","8"
"C-Line","4"
"Xerox","173"
"Kensington","11"
"Eureka","8"
"Standard","2"
"WD My Passport","3"
"Prang","3"
"Office Star","12"
"Harmony","2"
"Dixon","9"
"Okidata","6"
"Canon","10"
"Alliance","4"
"Electrix","5"
"Deflect-o","8"
"Bush","13"
"Howard Miller","12"
"Nokia","3"
"Bionaire","2"
"Tennsco","11"
"Smead","3"
"Carina","4"
"Angle-D","2"
"Poly","2"
"Samsung","11"
"BIC","5"
"Maxell","12"
"TOPS","7"
"Imation","11"
"Hunt","4"
"LG","3"
"Hewlett-Packard","11"
"Euro Pro","2"
"Akro","2"
"Griffin","2"
"DAX","17"
"Texas Instruments","2"
"Tensor","4"
"iOttie","2"
"Kingston","4"
"Newell","52"
"Chromcraft","6"
"Ibico","12"
"GBC","45"
"Crayola","2"
"Honeywell","5"
"DXL","2"
"Dana","3"
"Zebra","4"
"NETGEAR","3"
"Adams","9"
"Westinghouse","3"
"Hon","33"
"First Data","2"
"SAFCO","20"
"Martin-Yale","2"
"Cisco","17"
"Motorola","6"
"Ativa","3"
"Premier","2"
"Logitech","36"
"Wilson Jones","23"
"3M","6"
"Polycom","7"
"Rogers","4"
"Space Solutions","3"
"Fellowes","35"
"Riverside","3"
"Global","40"
"Array","2"
"Acme","19"
"Boston","18"
"Jabra","4"
"Enermax","3"
"Decoflex","2"
"Cubify","2"
"O'Sullivan","13"
"Stockwell","2"
"Luxo","5"
"Sauder","11"
"Storex","3"
"Gould Plastics","2"
"Peel & Seel","2"
"DMI","2"
"KeyTronic","4"
"Office Impressions","2"
"G. E.","2"
"Master Caster","4"
"Ampad","5"
"ACCOHIDE","3"
"Bretford","4"
"Pyle","2"
"Belkin","25"
"Things To Do","2"
"Square","2"
"Hammermil","2"
"OIC","5"
"Plantronics","15"
"Jawbone","2"
"Apple","4"
"Southworth","8"
"Tenex","16"
"Lexmark","4"
"Novimex","4"
"KI","2"
"Cardinal","8"
"Brother","2"
"Strathmore","3"
"Fiskars","4"
"OtterBox","4"
"Pressboard","4"
